sampleID	treatment	Novel introns	Novel exons	Novel transcripts	Matching introns	Matching exons	Matching transcripts	Intron level sensitivity	Intron level precision	Exon level sensitivity	Exon level precision	Transcript level sensitivity	Transcript level precision
SRR10689489	hg38_star	6245	12313	22655	155371	173543	14272	46.2	91.4	41.5	77.4	9.664596778016293	38.649226852980206
SRR10689471	hg38_hisat	2626	4909	21468	96351	117616	3883	29.5	95.4	23.9	69.1	2.629458330229629	15.316950021695396
SRR10689489	hg38_hisat	6814	13148	22938	157135	175172	14846	46.8	91.4	42.1	77.4	10.053293425338417	39.29176370950667
SRR10689470	hg38_star	4186	8160	21388	134695	152971	13205	40.2	92.6	36.4	78.1	8.942054403987187	38.172462636949675
SRR10689487	hg38_star	9496	17559	29260	184014	194635	21180	52.8	87.2	47.9	78.2	14.342499983070704	41.99048374306106
SRR10689488	hg38_star	3780	7555	24801	108041	131980	4816	32.9	94.0	26.9	67.8	3.261259675092942	16.260931221933348
SRR10689472	hg38_hisat	5430	10197	22998	145014	164048	13688	43.2	91.9	39.2	77.9	9.269128412099708	37.31123589380145
SRR10689486	hg38_star	6062	11711	22580	157662	172254	15686	46.5	90.9	42.1	79.2	10.622117787273233	40.99200334500601
SRR10689471	hg38_star	2299	4281	21039	95147	116284	3787	29.1	95.5	23.4	68.7	2.564449831722793	15.254169016353822
SRR10689473	hg38_hisat	8437	16347	25686	163395	181799	16062	48.5	90.2	43.4	75.9	10.876734406425006	38.47369933889048
SRR10689487	hg38_hisat	10126	18571	29874	185853	196755	21622	53.4	87.2	48.3	77.8	14.641809944945928	41.98772720211279
SRR10689490	hg38_star	2932	6611	22823	87378	106181	7961	25.8	91.5	23.1	70.9	5.390965173051269	25.8608367983368
SRR10689479	hg38_star	4631	8375	18339	149003	163368	15478	44.4	92.5	40.6	81.8	10.481266040508421	45.76987905491321
SRR10689486	hg38_hisat	6559	12500	22822	159472	173676	16117	47.1	90.8	42.5	79.1	10.913978858694549	41.39037982485426
SRR10689477	hg38_star	2662	4927	16392	119974	136273	9133	36.4	95.0	32.1	79.4	6.184610592322225	35.780607247796276
SRR10689480	hg38_star	2303	4194	17709	92218	110383	4815	28.2	95.4	23.8	72.8	3.2605825032334956	21.37719765583378
SRR10689469	hg38_star	2017	3751	18264	101409	120361	5673	31.0	96.0	26.2	74.1	3.841595958638343	23.69971174332623
SRR10689468	hg38_hisat	5019	9623	24567	131677	152805	11226	39.4	92.1	35.3	75.5	7.6019312941431405	31.363674461486884
SRR10689490	hg38_hisat	3020	6717	22710	87439	106417	8093	26.0	91.8	23.1	71.1	5.480351858498168	26.27341492711749
SRR10689478	hg38_star	4680	9163	23689	132613	151892	12012	39.4	91.8	35.5	76.4	8.134188375667861	33.646116355284164
SRR10689485	hg38_hisat	5122	9081	19708	151769	167333	15199	45.3	92.4	41.3	80.9	10.292335091722927	43.54141003237173
SRR10689481	hg38_star	4994	9122	19197	144121	158999	14354	42.8	91.8	39.0	80.2	9.720124870490881	42.78262942982325
SRR10689468	hg38_star	4730	9086	24523	131312	152295	11057	39.1	92.0	35.1	75.4	7.487489249896731	31.076447442383362
SRR10689476	hg38_star	5065	9235	19328	156227	171011	16239	46.5	92.2	42.5	81.6	10.996593825546986	45.65749149492507
SRR10689469	hg38_hisat	2136	3920	18250	102494	121450	5880	31.4	96.1	26.7	74.9	3.981770533543708	24.368006630750102
SRR10689484	hg38_hisat	5984	12131	25405	144716	166088	12216	43.3	92.0	38.7	75.3	8.272331434994888	32.4712261768693
SRR10689475	hg38_star	5121	10137	22314	142848	161882	11949	42.8	92.6	37.9	76.7	8.091526548522749	34.87435425969705
SRR10689482	hg38_star	4068	7707	17972	131398	147151	11428	39.4	93.1	35.5	79.5	7.738720009751275	38.87074829931973
SRR10689482	hg38_hisat	4408	8157	18047	132467	148108	11722	39.8	93.1	35.8	79.6	7.93780853642846	39.376532634619906
SRR10689483	hg38_hisat	7901	14313	24558	164312	177505	18018	48.0	89.2	43.5	78.6	12.201282563501792	42.319616685456594
SRR10689483	hg38_star	7490	13559	24076	163012	175982	17660	47.5	89.1	43.2	78.9	11.958855037820049	42.313590185930614
SRR10689480	hg38_hisat	2454	4514	17970	93261	111563	4940	28.6	95.4	24.2	73.3	3.3452289856642716	21.562636403317327
SRR10689478	hg38_hisat	4885	9487	23683	132921	152449	12197	39.6	92.0	35.7	76.4	8.25946516966541	33.99386845039019
SRR10689474	hg38_star	3944	7616	19437	136952	154080	13665	41.0	93.0	37.3	79.7	9.253553459332444	41.28149356534348
SRR10689481	hg38_hisat	5305	9603	19275	144681	159760	14645	43.1	91.9	39.2	80.1	9.917181881589729	43.1751179245283
SRR10689479	hg38_hisat	4887	8841	18330	149723	164309	15802	44.8	92.6	40.8	81.6	10.700669722968993	46.29673034102895
